Iteration: 0/5000	 MSE functional: 0.0279	 MSE terminal: 0.3805	 Total Loss: 0.4083
Iteration: 10/5000	 MSE functional: 0.0127	 MSE terminal: 0.0453	 Total Loss: 0.0580
Iteration: 20/5000	 MSE functional: 0.0061	 MSE terminal: 0.0146	 Total Loss: 0.0207
Iteration: 30/5000	 MSE functional: 0.0036	 MSE terminal: 0.0092	 Total Loss: 0.0128
Iteration: 40/5000	 MSE functional: 0.0026	 MSE terminal: 0.0072	 Total Loss: 0.0098
Iteration: 50/5000	 MSE functional: 0.0019	 MSE terminal: 0.0051	 Total Loss: 0.0070
Iteration: 60/5000	 MSE functional: 0.0017	 MSE terminal: 0.0032	 Total Loss: 0.0049
Iteration: 70/5000	 MSE functional: 0.0014	 MSE terminal: 0.0047	 Total Loss: 0.0061
Iteration: 80/5000	 MSE functional: 0.0013	 MSE terminal: 0.0021	 Total Loss: 0.0034
Iteration: 90/5000	 MSE functional: 0.0014	 MSE terminal: 0.0016	 Total Loss: 0.0030
Iteration: 100/5000	 MSE functional: 0.0012	 MSE terminal: 0.0038	 Total Loss: 0.0050
Iteration: 110/5000	 MSE functional: 0.0010	 MSE terminal: 0.0014	 Total Loss: 0.0024
Iteration: 120/5000	 MSE functional: 0.0008	 MSE terminal: 0.0058	 Total Loss: 0.0066
Iteration: 130/5000	 MSE functional: 0.0008	 MSE terminal: 0.0005	 Total Loss: 0.0012
Iteration: 140/5000	 MSE functional: 0.0006	 MSE terminal: 0.0022	 Total Loss: 0.0028
Iteration: 150/5000	 MSE functional: 0.0007	 MSE terminal: 0.0028	 Total Loss: 0.0035
Iteration: 160/5000	 MSE functional: 0.0006	 MSE terminal: 0.0064	 Total Loss: 0.0070
Iteration: 170/5000	 MSE functional: 0.0005	 MSE terminal: 0.0026	 Total Loss: 0.0032
Iteration: 180/5000	 MSE functional: 0.0005	 MSE terminal: 0.0023	 Total Loss: 0.0028
Iteration: 190/5000	 MSE functional: 0.0004	 MSE terminal: 0.0035	 Total Loss: 0.0039
Iteration: 200/5000	 MSE functional: 0.0004	 MSE terminal: 0.0041	 Total Loss: 0.0045
Iteration: 210/5000	 MSE functional: 0.0003	 MSE terminal: 0.0035	 Total Loss: 0.0039
Iteration: 220/5000	 MSE functional: 0.0003	 MSE terminal: 0.0022	 Total Loss: 0.0025
Iteration: 230/5000	 MSE functional: 0.0003	 MSE terminal: 0.0035	 Total Loss: 0.0039
Iteration: 240/5000	 MSE functional: 0.0003	 MSE terminal: 0.0011	 Total Loss: 0.0014
Iteration: 250/5000	 MSE functional: 0.0002	 MSE terminal: 0.0038	 Total Loss: 0.0040
Iteration: 260/5000	 MSE functional: 0.0002	 MSE terminal: 0.0008	 Total Loss: 0.0010
Iteration: 270/5000	 MSE functional: 0.0002	 MSE terminal: 0.0031	 Total Loss: 0.0033
Iteration: 280/5000	 MSE functional: 0.0002	 MSE terminal: 0.0047	 Total Loss: 0.0049
Iteration: 290/5000	 MSE functional: 0.0002	 MSE terminal: 0.0031	 Total Loss: 0.0034
